

            ##### Check inputs,                     
                      Suns Voc, remeasure YM18-w15-4a
                      Light IV, remeasure YM18-w15-4a
                       Dark IV, Remeasure ym18-w15-4a
                           Jsc, -6.605e-02          
                Cell thickness, -5.263e-02          
                     Cell Area, 0.000e+00           
                           Voc, 4.045e-03           


             ##### Reflectance,                     
                      filename, example_reflectance.csv
                           WAR, 3.535               
                       f_metal, 1.069               
                             R, 48.932              
                   R_wo_escape, 38.073              


                      ##### QE,                     
                      filename, example_EQE.txt     
                    Light Bias,   0.0 mA            
                           Jsc, 0.036520000000000004
                  Voltage Bias,   0.00              
           Monitor Corrections,   On                
                Chopping Speed,   119.96            
                 Sync Waveform,   Sine              
               Basore fit Leff, 5.707e-02           
              Basore fit etc_c, 88.832              


                ##### Light IV,                     
                      filename, example_lightIV.lgt 
                    Cell Name , remeasure YM18-w15-4a
                  Measured By , Sisi                
            Cell Area (sqr cm), 6.9                 
               Substrate Type , P type              
                         Date , 21/07/2015          
                         Time , 11:17 AM            
              Temperature ('C), 25.0                
                 Concentration, 1.0                 
                           Voc, 0.6309              
                           Isc, 0.26981             
                           Jsc, 0.0391029           
                           Vmp, 0.524               
                           Imp, 0.2408              
                           Jmp, 0.034898551         
                           Eff, 18.29               
                          Pmax, 0.1262              
                            FF, 0.7413              
        Number of Data Samples, 95.0                


                ##### Suns Voc,                     
                      filename, example_sunsVoc.xlsm
                   Jsc (A/cm²), 0.039103            
     Base Resistivity (Ohm-cm), 2                   
                   Sample Name, remeasure YM18-w15-4a
          Wafer Thickness (cm), 0.018               
                     Base Type, p-type              
               Number of Cells, 1                   
             Pseudo Efficiency, 18.58567            
                   Jmp (A/cm²), 0.03480531          
        Ideality (n) @ 0.1 sun, 2.935565            
                       Voc (V), 0.6334519           
           Apparent Rs (W-cm²), 0.9214187           
                   Jo1 (A/cm²), 3.29671e-13         
                   Jo2 (A/cm²), 9.484486e-08        
            Fitted Rsh (W-cm²), 558.8674            
                 Voc @ 0.1 sun, 0.5265459           
        Ideality (n)   @ 1 sun, 1.341345            
                           PFF, 0.7503339           
                       Vmp (V), 0.5339895           


                 ##### Dark IV,                     
                      filename, example_darkIV.drk  
                     Cell Name, Remeasure ym18-w15-4a
           Cell Area in sqr cm, 6.9                 
                Substrate Type, P type              
                   Measured By, Sisi                
                          Date, 21/07/2015          
                          Time, 11:17 AM            
                   Temperature, 25.0                
        Number of Data Samples, 186.0               
        Rshunt in Reverse Bias, 78340.0             


               ##### Calclated,                     
                           Rsh, 7.516e+04           
                           Rs1, 2.862e-01           
                           Rs2, 1.943e-01           
